labels,nbr,X,Y,Z,radius,sph_phi,sph_phi_besa,sph_theta,sph_theta_besa,theta
98,98,-0.2635310497285013,-0.7240456084542304,0.6374239897486896,0.28,39.599999999999994,-20.0,-110.0,50.400000000000006,110
99,99,-0.5634168207460275,-0.8046426095134189,-0.18738131458572477,0.56,-10.80000000000001,-35.0,-125.0,100.80000000000001,125
100,100,-0.3907311284892736,-0.9205048534524404,0.0,0.5,0.0,-23.0,-113.0,90.0,113
101,101,-0.3312749515920437,-0.9101704491300632,0.2486898871648548,0.42,14.400000000000002,-20.0,-110.0,75.6,110
102,102,-0.18525067297365816,-0.8715358938730197,0.4539904997395468,0.35,27.000000000000004,-12.0,-102.0,62.99999999999999,102
103,103,4.7180328823300893e-17,-0.7705132427757894,0.6374239897486896,0.28,39.599999999999994,0.0,-90.0,50.400000000000006,90
C4,104,0.01069670300862973,-0.6128137049400232,0.7901550123756904,0.21,52.2,1.0,-89.0,37.8,89
105,105,0.14232507523302743,-0.3707694971212825,0.9177546256839811,0.13,66.6,21.0,-69.0,23.400000000000002,69
106,106,0.1764815894978394,-0.1282213801801646,0.9759167619387474,0.07,77.4,54.0,-36.0,12.59999999999999,36
EMG1,107,-0.3035434538330097,-0.9342106906791707,-0.18738131458572477,0.56,-10.80000000000001,-18.0,-108.0,100.80000000000001,108
108,108,-0.08441758482104057,-0.9648974097772851,0.2486898871648548,0.42,14.400000000000002,-5.0,-95.0,75.6,95
109,109,0.10858638007253905,-0.884365096670475,0.4539904997395468,0.35,27.000000000000004,7.0,-83.0,62.99999999999999,83
110,110,0.22527627030180147,-0.7368454785989883,0.6374239897486896,0.28,39.599999999999994,17.0,-73.0,50.400000000000006,73
111,111,0.2971432359278009,-0.5360605877696362,0.7901550123756904,0.21,52.2,29.0,-61.0,37.8,61
112,112,0.3212993928037005,-0.23343767309418803,0.9177546256839811,0.13,66.6,54.0,-36.0,23.400000000000002,36
EMG2,113,6.01477468724071e-17,-0.9822872507286886,-0.18738131458572477,0.56,-10.80000000000001,0.0,-90.0,100.80000000000001,90
114,114,0.19080899537654492,-0.981627183447664,0.0,0.5,0.0,11.0,-79.0,90.0,79
115,115,0.21788380331559937,-0.9437584374587922,0.2486898871648548,0.42,14.400000000000002,13.0,-77.0,75.6,77
116,116,0.41830222536313777,-0.7867120657537187,0.4539904997395468,0.35,27.000000000000004,28.0,-62.0,62.99999999999999,62
117,117,0.44194823995262567,-0.631167497971528,0.6374239897486896,0.28,39.599999999999994,35.0,-55.0,50.400000000000006,55
118,118,0.4958522223775357,-0.36025772716325116,0.7901550123756904,0.21,52.2,54.0,-36.0,37.8,36
119,119,0.26050509639603353,-0.8520737766754296,-0.4539904997395468,0.65,-27.000000000000004,17.0,-73.0,117.0,73
120,120,0.3035434538330098,-0.9342106906791706,-0.18738131458572477,0.56,-10.80000000000001,18.0,-72.0,100.80000000000001,72
121,121,0.42261826174069944,-0.9063077870366499,0.0,0.5,0.0,25.0,-65.0,90.0,65
122,122,0.5416248301243933,-0.8029918327197691,0.2486898871648548,0.42,14.400000000000002,34.0,-56.0,75.6,56
123,123,0.6409364552100961,-0.6189451401610268,0.4539904997395468,0.35,27.000000000000004,46.0,-44.0,62.99999999999999,44
F4,124,0.6233583077965633,-0.45289632079965897,0.6374239897486896,0.28,39.599999999999994,54.0,-36.0,50.400000000000006,36
EOG_R1,125,0.6354477281866059,-0.7309989909462347,-0.24868988716485463,0.58,-14.399999999999993,41.0,-49.0,104.39999999999999,49
126,126,0.8823353099441544,-0.12400414094694472,-0.4539904997395468,0.65,-27.000000000000004,82.0,-8.0,117.0,8
127,127,0.8823353099441544,0.12400414094694472,-0.4539904997395468,0.65,-27.000000000000004,-82.0,8.0,-117.0,-8
EOG_L2,128,0.6354477281866059,0.7309989909462347,-0.24868988716485463,0.58,-14.399999999999993,-41.0,49.0,-104.39999999999999,-49
Cz,129,6.123233995736766e-17,-0.0,1.0,0.0,90.0,90.0,-0.0,0.0,0
